growth_driver_l1,growth_driver_l2,growth_driver_l3,growth_driver_l4,growth_driver_l5,metric,Starting week,investment (in pound),execution
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-11-27,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-12-04,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-12-11,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-12-18,0.0,0.0
ap_consumer_facing,consumer_engagement,advocacy_media,influencer_management,influencer_management,engagements,2023-12-25,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-01-03,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-01-10,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-01-17,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-01-24,16158.513009600001,815102.08
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-01-31,13465.429226600001,679251.8200000001
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-02-07,21544.6857314,1086802.8599999999
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-02-14,8079.256504800001,407551.04
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-02-21,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-02-28,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-03-07,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-03-14,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-03-21,22118.736939000002,1144673.27
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-03-28,13517.006607,699522.5900000001
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-04-04,19661.100056,1017487.38
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-04-11,15974.643477,826708.48
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-04-18,4915.2737582,254371.78000000003
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-04-25,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-05-02,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-05-09,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-05-16,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-05-23,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-05-30,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-06-06,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-06-13,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-06-20,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-06-27,10007.3154623,517891.52999999997
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-07-04,22016.093515,1139361.34
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-07-11,36026.331640000004,1864409.3
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-07-18,16011.705749,828626.5
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-07-25,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-08-01,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-08-08,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-08-15,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-08-22,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-08-29,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-09-05,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-09-12,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-09-19,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-09-26,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-10-03,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-10-10,31327.4,1673475.7
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-10-17,31327.4,1673475.7
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-10-24,31327.4,1673475.7
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-10-31,31327.4,1673475.7
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-11-07,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-11-14,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-11-21,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-11-28,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-12-05,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-12-12,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-12-19,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2022-12-26,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-01-02,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-01-09,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-01-16,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-01-23,19732.7,991638.7000000001
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-01-30,27625.0,1388294.7
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-02-06,27625.0,1388294.7
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-02-13,27625.0,1388294.7
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-02-20,7892.3,396656.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-02-27,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-03-06,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-03-13,25277.2,1361887.8
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-03-20,25277.2,1361887.8
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-03-27,25277.2,1361887.8
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-04-03,25277.2,1361887.8
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-04-10,25277.2,1361887.8
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-04-17,3611.4,194555.4
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-04-24,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-05-01,25155.0,1342161.6
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-05-08,25155.0,1342161.6
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-05-15,25155.0,1342161.6
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-05-22,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-05-29,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-06-05,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-06-12,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-06-19,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-06-26,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-07-03,32305.0,1632575.1
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-07-10,32305.0,1632575.1
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-07-17,18460.0,932900.8
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-07-24,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-07-31,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-08-07,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-08-14,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-08-21,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-08-28,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-09-04,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-09-11,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-09-18,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-09-25,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-10-02,39949.0,1831709.1
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-10-09,39949.0,1831709.1
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-10-16,39949.0,1831709.1
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-10-23,5707.0,261673.1
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-10-30,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-11-06,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-11-13,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-11-20,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-11-27,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-12-04,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-12-11,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-12-18,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,digital_tv,bvod,impressions,2023-12-25,0.0,0.0
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-01-03,613.431,193246.30000000002
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-01-10,1065.064,343567.9
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-01-17,1354.8210000000001,448357.0
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-01-24,2428.517,626307.5
