Starting Week,Year,UK L'Oreal Paris Haircare Offline Average Price (in pound),UK L'Oreal Paris Haircare Online Average Price (in pound),UK L'Oreal Paris Haircare Total Weigheted Promotion Distribution (%)
2023-10-09,2023,3.2900568171798787,4.0853528692357495,0.25
2023-10-16,2023,3.1312506868407417,3.892381261549218,0.88
2023-10-23,2023,3.0612110574813514,3.722295890410959,0.66
2023-10-30,2023,2.9667911585251394,3.641634808654869,0.86
2023-11-06,2023,2.939093771516544,3.605479775673288,0.95
2023-11-13,2023,3.0168403619840194,3.605887172891623,0.58
2023-11-20,2023,3.054441900544702,3.8220073656573983,0.6
2023-11-27,2023,3.0673996229865335,3.771592162429148,0.91
2023-12-04,2023,3.0396988309251567,3.7845327069542316,0.81
2023-12-11,2023,3.057034496122311,3.836531877945919,0.81
2023-12-18,2023,3.1769551126984164,3.9392107472712006,0.86
2023-12-25,2023,3.302599677157269,4.743514185867441,0.83
